----------run:0-------
Generation      Evaluations        Average Fitness   Best Fitness   Mutation Rate
13              1500               -45.729           -22             0.5965996908809892
14              1600               -45.308           -22             0.5940438871473355
15              1700               -44.509           -14.2           0.5942492012779552
16              1800               -43.883           -14.2           0.532656023222061
17              1900               -43.443           -14.2           0.5290611028315948
18              2000               -43.062           -14.2           0.5271903323262841
----------run:18-------
Generation      Evaluations        Average Fitness   Best Fitness   Mutation Rate
0               200                -105.877          -26.6           0.2            
1               300                -77.778           -26.6           0.77784911717496
2               400                -69.093           -26.6           0.6596306068601583
3               500                -62.699           -19.4           0.6362862010221465
4               600                -58.987           -19.4           0.5751391465677179
5               700                -55.307           -19.4           0.5758196721311475
6               800                -53.079           -19.4           0.5677200902934538
7               900                -51.185           -11.8           0.5649038461538461
8               1000               -49.398           -11.8           0.5149082568807339
9               1100               -48.084           -11.8           0.5196662693682955
10              1200               -47.492           -11.8           0.5261875761266748
11              1300               -46.401           -11.8           0.5162500000000001
12              1400               -45.887           -11.8           0.5168831168831169
13              1500               -44.461           -11.8           0.5145118733509234
14              1600               -43.508           -11.8           0.5216216216216216
15              1700               -42.834           -11.8           0.5255172413793103
16              1800               -42.118           -11.8           0.518465909090909
17              1900               -41.641           -11.8           0.5195936139332364
18              2000               -41.093           -11.8           0.5214180206794682
----------run:19-------
Generation      Evaluations        Average Fitness   Best Fitness   Mutation Rate
0               200                -104.85           -25.4           0.2            
1               300                -77.581           -25.4           0.7836379982019778
2               400                -68.458           -25.4           0.6610169491525424
3               500                -62.807           -25.4           0.6241610738255035
4               600                -58.356           -25.4           0.6057416267942584
5               700                -55.392           -25.4           0.6106194690265487
6               800                -53.074           -20.4           0.6159334126040428
7               900                -51.061           -20.4           0.588095238095238
8               1000               -49.361           -20.4           0.600250626566416
9               1100               -48.161           -20.4           0.6119791666666666
10              1200               -46.936           -20.4           0.60840108401084
11              1300               -46.075           -20.4           0.5919540229885059
12              1400               -45.432           -20.4           0.5837104072398189
13              1500               -44.46            -20.4           0.5848765432098766
14              1600               -43.905           -20             0.5853269537480064
15              1700               -43.414           -20             0.5811688311688312
16              1800               -42.978           -20             0.5806988352745424
17              1900               -42.531           -20             0.5806451612903227
18              2000               -42.378           -20             0.5827586206896551
----------run:20-------
Generation      Evaluations        Average Fitness   Best Fitness   Mutation Rate
0               200                -97.766           -22.2           0.2            
1               300                -72.801           -17.4           0.7812598923710035
2               400                -62.395           -17.4           0.6226166995397766
3               500                -58.41            -17.4           0.5939086294416244
4               600                -55.113           -11.8           0.5821462488129154
5               700                -52.115           -11.8           0.5463414634146342
6               800                -50.543           -11.8           0.5543822597676874
7               900                -48.682           -11.8           0.5546961325966852
8               1000               -47.524           -11.8           0.5546511627906977
9               1100               -46.238           -11.8           0.5601907032181168
10              1200               -45.395           -11.8           0.555          
11              1300               -44.567           -11.8           0.5515923566878982
12              1400               -43.939           -11.8           0.544502617801047
13              1500               -43.52            -11.8           0.5378378378378379
14              1600               -42.692           -11.8           0.5318559556786703
15              1700               -42.197           -11.8           0.536067892503536
16              1800               -41.787           -11.8           0.5375722543352601
17              1900               -40.711           -11.8           0.5302806499261448
18              2000               -40.375           -11.8           0.5301391035548686
----------run:21-------
Generation      Evaluations        Average Fitness   Best Fitness   Mutation Rate
0               200                -104.806          -24.4           0.2            
1               300                -78.612           -22.4           0.7405386975792703
2               400                -67.966           -22.4           0.6656644618159953
3               500                -63.169           -22.4           0.6004922067268254
4               600                -58.058           -21             0.6117867165575305
5               700                -55.576           -21             0.6037735849056604
6               800                -54.011           -21             0.5937149270482605
7               900                -52.129           -21             0.5871886120996442
8               1000               -50.276           -21             0.5836477987421383
9               1100               -49.385           -21             0.5779569892473119
10              1200               -48.482           -21             0.5798898071625345
11              1300               -47.526           -21             0.5769230769230769
12              1400               -46.66            -20.4           0.5859030837004404
13              1500               -45.482           -20.4           0.5851851851851853
14              1600               -44.518           -20.4           0.5802469135802468
15              1700               -43.848           -20.4           0.5904761904761905
16              1800               -43.293           -20.4           0.5869918699186992
17              1900               -42.528           -20.4           0.6006600660066006
18              2000               -41.982           -20.4           0.5989847715736041
----------run:22-------
Generation      Evaluations        Average Fitness   Best Fitness   Mutation Rate
0               200                -108.082          -27.8           0.2            
1               300                -79.487           -27.8           0.7707672796448954
2               400                -68.467           -27.4           0.6417218543046359
3               500                -62.132           -27.2           0.6066725197541704
4               600                -58.75            -23.8           0.6182741116751269
5               700                -56.315           -23.8           0.6002132196162047
6               800                -53.64            -23.8           0.5886442641946698
7               900                -52.13            -23.8           0.6032138442521631
8               1000               -50.475           -23.8           0.6054333764553688
9               1100               -49.232           -23.8           0.6214382632293081
10              1200               -48.831           -23.8           0.6187150837988826
11              1300               -47.898           -23.8           0.6129496402877699
12              1400               -46.624           -23.8           0.62125748502994
13              1500               -45.366           -23.8           0.6259659969088098
14              1600               -44.441           -23.8           0.6304700162074554
15              1700               -43.69            -20             0.6409395973154361
16              1800               -42.893           -20             0.6025848142164782
17              1900               -42.237           -20             0.6073211314475873
18              2000               -41.836           -20             0.6040955631399316
----------run:23-------
Generation      Evaluations        Average Fitness   Best Fitness   Mutation Rate
0               200                -101.266          -24.2           0.2            
1               300                -75.753           -24.2           0.7910680824484697
2               400                -66.826           -24.2           0.6540795684423466
3               500                -60.984           -24.2           0.6290877796901893
4               600                -57.279           -24.2           0.623046875    
5               700                -55.18            -24.2           0.6150442477876107
6               800                -52.825           -24.2           0.615112160566706
